0,4
1,13
2,21
3,2
4,18
5,17
6,11
7,23
8,22
9,20
10,2
11,9
12,11
13,19
14,4
15,5
16,7
17,8
18,2
19,0
20,16
21,0
22,25
23,17
24,9
25,1
26,21
27,8
28,24
29,0
30,3
31,23
32,10
33,16
34,10
35,23
36,6
37,19
38,15
39,5
40,16
41,11
42,13
43,1
44,13
45,10
46,10
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,3
55,14
56,23
57,9
58,15
59,14
60,12
61,2
62,11
63,7
64,0
65,6
66,6
67,20
68,12
69,1
70,24
71,22
72,21
73,8
74,21
75,18
76,15
77,17
78,6
79,19
,symbol,precision,recall,f1-score,support
0,A,0.8,1.0,0.888888888888889,4.0
1,B,0.6666666666666666,1.0,0.8,2.0
2,C,1.0,1.0,1.0,4.0
3,D,1.0,1.0,1.0,3.0
4,E,1.0,1.0,1.0,2.0
5,F,1.0,1.0,1.0,2.0
6,G,0.75,0.75,0.75,4.0
7,H,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
8,I,1.0,1.0,1.0,3.0
9,J,1.0,0.75,0.8571428571428571,4.0
10,K,0.5,0.6666666666666666,0.5714285714285715,3.0
11,L,1.0,1.0,1.0,4.0
12,M,0.5,0.3333333333333333,0.4,3.0
13,N,1.0,0.75,0.8571428571428571,4.0
14,O,1.0,1.0,1.0,3.0
15,P,1.0,1.0,1.0,3.0
16,Q,1.0,1.0,1.0,3.0
17,R,1.0,0.75,0.8571428571428571,4.0
18,S,1.0,0.6666666666666666,0.8,3.0
19,T,0.6666666666666666,1.0,0.8,2.0
20,U,1.0,1.0,1.0,3.0
21,V,0.75,1.0,0.8571428571428571,3.0
22,W,1.0,1.0,1.0,3.0
23,X,0.5,1.0,0.6666666666666666,2.0
24,Y,1.0,1.0,1.0,3.0
25,Z,1.0,0.3333333333333333,0.5,3.0
26,accuracy,0.85,0.85,0.85,0.85
27,macro avg,0.864102564102564,0.8589743589743589,0.8438034188034188,80.0
28,weighted avg,0.8764583333333335,0.85,0.8470039682539682,80.0
,accuracy,macro-average-f1,weighted-average-f1
DS1,0.85,0.8438034188034188,0.8470039682539682
